2024.12.01 07.46.11  ÉçÉOäJén
 ,     useful,   average,          diff ,          LED 
,+0031775,+0031593,+0000169,0
,+0031825,+0031595,+0000230,0
,+0031799,+0031596,+0000202,0
,+0031744,+0031599,+0000145,0
,+0031708,+0031599,+0000108,0
,+0031668,+0031600,+0000067,0
,+0031664,+0031601,+0000063,0
,+0031640,+0031601,+0000039,0
,+0031721,+0031602,+0000118,0
,+0031724,+0031604,+0000119,0
,+0031784,+0031605,+0000178,0
,+0031764,+0031608,+0000162,0
,+0031797,+0031609,+0000187,0
,+0031753,+0031610,+0000142,0
,+0031702,+0031612,+0000090,0
,+0031671,+0031612,+0000058,0
,+0031619,+0031601,+0000017,0
,+0031654,+0031602,+0000052,0
,+0031681,+0031603,+0000077,0
,+0031746,+0031604,+0000142,0
,+0031743,+0031606,+0000136,0
,+0031892,+0031608,+0000284,0
,+0031883,+0031612,+0000273,0
,+0031898,+0031614,+0000283,0
,+0031875,+0031616,+0000258,0
,+0031803,+0031619,+0000183,0
,+0031770,+0031620,+0000149,0
,+0031690,+0031621,+0000068,0
,+0031727,+0031622,+0000104,0
,+0031729,+0031624,+0000105,0
,+0031803,+0031625,+0000177,0
,+0031804,+0031628,+0000176,0
,+0031850,+0031629,+0000220,0
,+0031805,+0031631,+0000174,0
,+0031762,+0031633,+0000129,0
,+0031731,+0031634,+0000097,0
,+0031690,+0031634,+0000055,0
,+0031658,+0031634,+0000023,0
,+0031686,+0031635,+0000051,0
,+0031737,+0031636,+0000101,0
,+0032036,+0031640,+0000395,0
,+0032306,+0031645,+0000660,0
,+0038811,+0031720,+0007090,0
,+0055882,+0031909,+0023973,0
,+0166185,+0032958,+0133226,0
,+0536548,+0039839,+0496709,0
,+0480608,+0043282,+0437325,1
,+0297364,+0043282,+0254082,1
,+0238357,+0043282,+0195074,1
,+0198578,+0043282,+0155296,1
,+0363813,+0043282,+0320530,1
,+0680577,+0043282,+0637294,1
,+0575845,+0043282,+0532562,1
,+0311212,+0043282,+0267929,1
,+0227645,+0043282,+0184363,1
,+0185725,+0043282,+0142442,1
,+0603745,+0043282,+0560462,1
,+0710876,+0043282,+0667594,1
,+0429922,+0043282,+0386640,1
,+0302556,+0043282,+0259273,1
,+0163454,+0043282,+0120171,1
,+0148354,+0043282,+0105071,1
,+0591911,+0043282,+0548628,1
,+0548274,+0043282,+0504992,1
,+0310185,+0043282,+0381524,1
,+0227558,+0043282,+0184275,1
,+0173376,+0043282,+0130093,1
,+0162342,+0043282,+0119060,1
,+0387402,+0043282,+0344119,1
,+0418487,+0043282,+0375204,1
,+0305013,+0043282,+0261730,1
,+0142854,+0043282,+0099572,1
,+0100457,+0043282,+0057174,1
,+0056393,+0043282,+0013110,0
,+0047609,+0043316,+0004292,0
,+0037545,+0037545,+0000000,0
,+0035223,+0035223,+0000000,0
,+0033778,+0033778,+0000000,0
,+0032405,+0032405,+0000000,0
,+0032150,+0032150,+0000000,0
,+0031903,+0031903,+0000000,0
,+0031904,+0031903,+0000001,0
,+0031886,+0031862,+0000023,0
,+0032093,+0031864,+0000228,0
,+0037701,+0031918,+0005782,0
,+0091118,+0032381,+0058737,0
,+0466701,+0038169,+0306541,0
,+0390231,+0040919,+0349312,0
,+0282440,+0042806,+0239633,1
,+0130597,+0042806,+0087790,1
,+0090949,+0042806,+0048143,1
,+0051564,+0042806,+0008757,0
,+0044270,+0042818,+0001452,0
,+0036252,+0036252,+0000000,0
,+0034808,+0034808,+0000000,0
,+0032980,+0032980,+0000000,0
,+0032647,+0032647,+0000000,0
,+0032395,+0032147,+0000000,0
,+0032057,+0032057,+0000000,0
,+0031959,+0031959,+0000000,0
,+0031747,+0031747,+0000000,0
,+0031695,+0031695,+0000000,0
,+0031768,+0031646,+0000122,0
,+0032349,+0031652,+0000697,0
,+0045302,+0031781,+0013520,0
,+0294481,+0033833,+0260647,0
,+0730709,+0043230,+0687479,0
,+0824304,+0049332,+0774971,1
,+0651360,+0049332,+0602027,1
,+0299669,+0049332,+0250337,1
,+0194350,+0049332,+0145017,1
,+0087073,+0049332,+0037740,1
,+0063724,+0049332,+0014391,1
,+0042349,+0042349,+0000000,0
,+0038636,+0038636,+0000000,0
,+0034166,+0034166,+0000000,0
,+0033341,+0033341,+0000000,0
,+0032309,+0032309,+0000000,0
,+0032151,+0032151,+0000000,0
,+0032004,+0032004,+0000000,0
,+0031809,+0031809,+0000000,0
,+0031751,+0031751,+0000000,0
,+0031640,+0031640,+0000000,0
,+0031607,+0031607,+0000000,0
,+0031522,+0031517,+0000005,0
,+0031573,+0031518,+0000055,0
,+0031578,+0031518,+0000059,0
,+0031642,+0031519,+0000122,0
,+0031680,+0031522,+0000158,0
,+0031720,+0031523,+0000196,0
,+0031671,+0031524,+0000146,0
,+0031603,+0031526,+0000077,0
,+0031561,+0031526,+0000035,0
,+0031503,+0031494,+0000009,0
,+0031481,+0031481,+0000000,0
,+0031454,+0031431,+0000022,0
,+0031490,+0031432,+0000058,0
